case_id,arm,common_input_sha256,normalized_request_sha256,common_input_equal,normalized_request_equal,oracle_disposition,materialized_state_sha256,oracle_state_equal,validator_accepts_oracle,hidden_answer_leakage_pass,arm_specific_information_pass
X16-CO02,fsr_pc,4530f40d53e733f091a09e6a7e5fa859ec359ef52f689553c3eaece52ade497d,3a4c0e6ecd81d8e075b8876c88f999ebf1c2d69c38308019ed4e4fa44c33df87,True,True,ABSTAIN,a9227527755acd0d3c60d49dea5d17f2f56ae21e1d78a3212d9408e72f73fbe0,True,True,True,True
X16-IS01,cope,67afa1128cc5daf474bb5596bc6ba0ef581bdb0b64855d45e85905a048c5f2ae,62af0dfbda20fbc42645f09296d74260cf16247048774eae91f18a33366a1325,True,True,APPLY,0696d3f03b724203f474ed8ca4982d1a1bc67f861ece5fbde1782f673f77fa51,True,True,True,True
X16-IS01,compact_tx,67afa1128cc5daf474bb5596bc6ba0ef581bdb0b64855d45e85905a048c5f2ae,62af0dfbda20fbc42645f09296d74260cf16247048774eae91f18a33366a1325,True,True,APPLY,0696d3f03b724203f474ed8ca4982d1a1bc67f861ece5fbde1782f673f77fa51,True,True,True,True
X16-IS01,fsr_pc,67afa1128cc5daf474bb5596bc6ba0ef581bdb0b64855d45e85905a048c5f2ae,62af0dfbda20fbc42645f09296d74260cf16247048774eae91f18a33366a1325,True,True,APPLY,0696d3f03b724203f474ed8ca4982d1a1bc67f861ece5fbde1782f673f77fa51,True,True,True,True
X16-IS02,cope,6890bd3dd48f0908d36629eeb4d57367ee1e057fbb408a673202e8ff7c5055db,81cdaa3e94d2bc01947a5c30df4f637253a153050e1bc8e98a655bc86a24389e,True,True,NO_OP,d31a0f8bad62af90ce17d622b408ed7649a284bf9d6ff735781a6ad3fdf31b6e,True,True,True,True
X16-IS02,compact_tx,6890bd3dd48f0908d36629eeb4d57367ee1e057fbb408a673202e8ff7c5055db,81cdaa3e94d2bc01947a5c30df4f637253a153050e1bc8e98a655bc86a24389e,True,True,NO_OP,d31a0f8bad62af90ce17d622b408ed7649a284bf9d6ff735781a6ad3fdf31b6e,True,True,True,True
X16-IS02,fsr_pc,6890bd3dd48f0908d36629eeb4d57367ee1e057fbb408a673202e8ff7c5055db,81cdaa3e94d2bc01947a5c30df4f637253a153050e1bc8e98a655bc86a24389e,True,True,NO_OP,d31a0f8bad62af90ce17d622b408ed7649a284bf9d6ff735781a6ad3fdf31b6e,True,True,True,True
X16-X01,cope,54b02b55095bb69fb955796fcdb783fe84ca90d8f2807b6887dacc68cf4bdbd9,a4d851ddb9c775a1a0253a3e10970806d65e6394b2cb8e182ecbff3c0a189d7d,True,True,APPLY,0d0eb085e892df4ec0fa29a664c9ba90c9c90a836efc7cf0c296327938940ccf,True,True,True,True
X16-X01,compact_tx,54b02b55095bb69fb955796fcdb783fe84ca90d8f2807b6887dacc68cf4bdbd9,a4d851ddb9c775a1a0253a3e10970806d65e6394b2cb8e182ecbff3c0a189d7d,True,True,APPLY,0d0eb085e892df4ec0fa29a664c9ba90c9c90a836efc7cf0c296327938940ccf,True,True,True,True
X16-X01,fsr_pc,54b02b55095bb69fb955796fcdb783fe84ca90d8f2807b6887dacc68cf4bdbd9,a4d851ddb9c775a1a0253a3e10970806d65e6394b2cb8e182ecbff3c0a189d7d,True,True,APPLY,0d0eb085e892df4ec0fa29a664c9ba90c9c90a836efc7cf0c296327938940ccf,True,True,True,True
X16-X02,cope,bd6331d2a3101b14199a0eb39a7e50ca6591f65bcdb11a193a1f6b34adb45b20,3c85b40d185a649be637b4a46bdc5c29e4fc9f7e7ae8b5324c38c0b70c1f36e4,True,True,APPLY,faefbdcacb61f789c2e0fbbb993afb111830ecf7d9d14418a3f2414342d65c0f,True,True,True,True
X16-X02,compact_tx,bd6331d2a3101b14199a0eb39a7e50ca6591f65bcdb11a193a1f6b34adb45b20,3c85b40d185a649be637b4a46bdc5c29e4fc9f7e7ae8b5324c38c0b70c1f36e4,True,True,APPLY,faefbdcacb61f789c2e0fbbb993afb111830ecf7d9d14418a3f2414342d65c0f,True,True,True,True
X16-X02,fsr_pc,bd6331d2a3101b14199a0eb39a7e50ca6591f65bcdb11a193a1f6b34adb45b20,3c85b40d185a649be637b4a46bdc5c29e4fc9f7e7ae8b5324c38c0b70c1f36e4,True,True,APPLY,faefbdcacb61f789c2e0fbbb993afb111830ecf7d9d14418a3f2414342d65c0f,True,True,True,True
