case_id,family,arm,oracle_accepted,semantic_state_sha256,transaction_meta_sha256,common_input_sha256,rule_clause_count
SCE-S32-32,scale_32_concurrent_conflict_hold,compact_semantic,True,b898026856cbdef4f6b3b3b6421ae8a0359b25fb1e88374ee09ffb3cef3807f8,038fa415809c86196c865b62ff7abdf4439d9ca8e8f6cb7329e6f8d58e651346,007276f3c5f256b84a3507f77388699224054d86226dd189e9edb8d4debe4fc1,3
SCE-S32-32,scale_32_concurrent_conflict_hold,fsr_semantic,True,b898026856cbdef4f6b3b3b6421ae8a0359b25fb1e88374ee09ffb3cef3807f8,038fa415809c86196c865b62ff7abdf4439d9ca8e8f6cb7329e6f8d58e651346,007276f3c5f256b84a3507f77388699224054d86226dd189e9edb8d4debe4fc1,3
SCE-S32-33,scale_32_owner_scoped_status_change,cope_semantic,True,ab482291a8e1cc643a7cf21c0156865bf25025d7d3a89158531bec70bc5bc3b1,a060b88fe8468555ed238b923f56ad05ba04850c677c27f3a96ac5d97fc7d459,a7aaf5a7f1333b7d11c0f713ec4c5a6bc32264987daa0aee7a1b138abdb5beb3,2
SCE-S32-33,scale_32_owner_scoped_status_change,neutral_typed,True,ab482291a8e1cc643a7cf21c0156865bf25025d7d3a89158531bec70bc5bc3b1,a060b88fe8468555ed238b923f56ad05ba04850c677c27f3a96ac5d97fc7d459,a7aaf5a7f1333b7d11c0f713ec4c5a6bc32264987daa0aee7a1b138abdb5beb3,2
SCE-S32-33,scale_32_owner_scoped_status_change,compact_semantic,True,ab482291a8e1cc643a7cf21c0156865bf25025d7d3a89158531bec70bc5bc3b1,a060b88fe8468555ed238b923f56ad05ba04850c677c27f3a96ac5d97fc7d459,a7aaf5a7f1333b7d11c0f713ec4c5a6bc32264987daa0aee7a1b138abdb5beb3,2
SCE-S32-33,scale_32_owner_scoped_status_change,fsr_semantic,True,ab482291a8e1cc643a7cf21c0156865bf25025d7d3a89158531bec70bc5bc3b1,a060b88fe8468555ed238b923f56ad05ba04850c677c27f3a96ac5d97fc7d459,a7aaf5a7f1333b7d11c0f713ec4c5a6bc32264987daa0aee7a1b138abdb5beb3,2
SCE-S32-34,scale_32_owner_scoped_field_change,cope_semantic,True,7a5710b390b123bd11d9dfe8f2ab1023b99b374c488063564f32247afe7e6864,d7386602159196a16e1ac753af510fa0bb2d9171ce1f6ebc5de14132cd6f3ff3,aa6f81e10dc50c00bf421a2dc0484890b76e3dd505292da479c5300ec0838ce6,2
SCE-S32-34,scale_32_owner_scoped_field_change,neutral_typed,True,7a5710b390b123bd11d9dfe8f2ab1023b99b374c488063564f32247afe7e6864,d7386602159196a16e1ac753af510fa0bb2d9171ce1f6ebc5de14132cd6f3ff3,aa6f81e10dc50c00bf421a2dc0484890b76e3dd505292da479c5300ec0838ce6,2
SCE-S32-34,scale_32_owner_scoped_field_change,compact_semantic,True,7a5710b390b123bd11d9dfe8f2ab1023b99b374c488063564f32247afe7e6864,d7386602159196a16e1ac753af510fa0bb2d9171ce1f6ebc5de14132cd6f3ff3,aa6f81e10dc50c00bf421a2dc0484890b76e3dd505292da479c5300ec0838ce6,2
SCE-S32-34,scale_32_owner_scoped_field_change,fsr_semantic,True,7a5710b390b123bd11d9dfe8f2ab1023b99b374c488063564f32247afe7e6864,d7386602159196a16e1ac753af510fa0bb2d9171ce1f6ebc5de14132cd6f3ff3,aa6f81e10dc50c00bf421a2dc0484890b76e3dd505292da479c5300ec0838ce6,2
SCE-S32-35,scale_32_compound_resume_and_checkpoint,cope_semantic,True,102215a0bc29afb9d2086993a031dfc31c809d3811676212e8e72fab48e86b1d,ebc4a9480a7d80705c6874d32c2078d0aed06c603c665119218d49638f7ccbba,26f73788831e9a1c2ebcac049f9d289379f47956e95519c584ddd43481c92ce0,4
SCE-S32-35,scale_32_compound_resume_and_checkpoint,neutral_typed,True,102215a0bc29afb9d2086993a031dfc31c809d3811676212e8e72fab48e86b1d,ebc4a9480a7d80705c6874d32c2078d0aed06c603c665119218d49638f7ccbba,26f73788831e9a1c2ebcac049f9d289379f47956e95519c584ddd43481c92ce0,4
SCE-S32-35,scale_32_compound_resume_and_checkpoint,compact_semantic,True,102215a0bc29afb9d2086993a031dfc31c809d3811676212e8e72fab48e86b1d,ebc4a9480a7d80705c6874d32c2078d0aed06c603c665119218d49638f7ccbba,26f73788831e9a1c2ebcac049f9d289379f47956e95519c584ddd43481c92ce0,4
SCE-S32-35,scale_32_compound_resume_and_checkpoint,fsr_semantic,True,102215a0bc29afb9d2086993a031dfc31c809d3811676212e8e72fab48e86b1d,ebc4a9480a7d80705c6874d32c2078d0aed06c603c665119218d49638f7ccbba,26f73788831e9a1c2ebcac049f9d289379f47956e95519c584ddd43481c92ce0,4
SCE-S32-36,scale_32_compound_replace_and_restore,cope_semantic,True,c1afb439b45d44ff4feee5f2fc080f8233e50f9823d22e9ad2ebf0e7d3a8e519,989bbd8e3eaa377f9522464cea21f0bbc6609f09a98fbfea2f2c9af65b932b78,06f438d219c2a91c7ab6dea1898c9267b12e409518c10235988ad7abcbd7d430,4
SCE-S32-36,scale_32_compound_replace_and_restore,neutral_typed,True,c1afb439b45d44ff4feee5f2fc080f8233e50f9823d22e9ad2ebf0e7d3a8e519,989bbd8e3eaa377f9522464cea21f0bbc6609f09a98fbfea2f2c9af65b932b78,06f438d219c2a91c7ab6dea1898c9267b12e409518c10235988ad7abcbd7d430,4
